dataset,model,MASE,WQL,ECE
ETTh,amazon/chronos-t5-small,0.8193720785635054,0.08928698760993202,0.08783546090126038
ETTm,amazon/chronos-t5-small,0.9357798369080768,0.07869400468392083,0.20420560240745544
dominick,amazon/chronos-t5-small,0.9919116184193169,0.3924080241611092,0.13368934392929077
ercot,amazon/chronos-t5-small,0.5628318158486657,0.022622752033642682,0.34036198258399963
exchange_rate,amazon/chronos-t5-small,2.118003982984617,0.015563367249447882,0.4504293203353882
m4_quarterly,amazon/chronos-t5-small,1.4745342022572008,0.10180958001763024,0.09214742481708527
m4_yearly,amazon/chronos-t5-small,4.224471620799077,0.16351755296446902,0.07524752616882324
monash_australian_electricity,amazon/chronos-t5-small,1.1459506270009352,0.07755064910473292,0.4517289102077484
monash_car_parts,amazon/chronos-t5-small,0.9395229331734034,1.1022533824963292,0.10168296843767166
monash_cif_2016,amazon/chronos-t5-small,1.099905746671603,0.015322594798024756,0.05163118615746498
monash_covid_deaths,amazon/chronos-t5-small,47.82610562184888,0.11313548738255116,0.2822739779949188
monash_fred_md,amazon/chronos-t5-small,0.6124134900770816,0.04558938650363351,0.26629990339279175
monash_hospital,amazon/chronos-t5-small,0.8575663659667608,0.06514262031036021,0.030306341126561165
monash_m1_monthly,amazon/chronos-t5-small,1.3211986066677681,0.14634004039285983,0.06603837758302689
monash_m1_quarterly,amazon/chronos-t5-small,2.0087535298275947,0.10879655881480658,0.09223233163356781
monash_m1_yearly,amazon/chronos-t5-small,5.101779147263297,0.1735888935113787,0.0452868714928627
monash_m3_monthly,amazon/chronos-t5-small,1.0322044381151143,0.1179361880531661,0.1076764240860939
monash_m3_quarterly,amazon/chronos-t5-small,1.5287691617665295,0.09809077080350086,0.08757375180721283
monash_m3_yearly,amazon/chronos-t5-small,3.770150867898734,0.19958672963198434,0.056602656841278076
monash_nn5_weekly,amazon/chronos-t5-small,0.9623216229172283,0.09147627192160383,0.019740115851163864
monash_tourism_monthly,amazon/chronos-t5-small,2.0453376073392535,0.1237388089340646,0.03354642540216446
monash_tourism_quarterly,amazon/chronos-t5-small,1.896213715162372,0.07944804063038607,0.033949825912714005
monash_tourism_yearly,amazon/chronos-t5-small,4.128226910111063,0.19507694677967458,0.05032447353005409
monash_traffic,amazon/chronos-t5-small,0.861310151637893,0.2768760308953776,0.10821402072906494
monash_weather,amazon/chronos-t5-small,0.9555824297607446,0.1659540985291435,0.09964253753423691
nn5,amazon/chronos-t5-small,0.6454707206986736,0.18037157696437245,0.024137021973729134
